               state	                soln	                  pH	                  pe	                C(4)	                  Ca	                  Mg	                  Cl	             Calcite	           d_Calcite	       Dolomite(dis)	     d_Dolomite(dis)	
              i_soln	                  18	  9.838117244292e+00	  8.333708907026e+00	  1.232568790126e-04	  1.658896239943e-04	  3.959465877711e-04	  8.771586649429e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  18	  9.838568227502e+00	  8.324881126089e+00	  1.234344746418e-04	  1.660672196879e-04	  3.959465883681e-04	  8.771586662655e-04	  2.060787340891e-04	 -1.775954431099e-07	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  19	  9.862718583399e+00	 -4.845319338452e+00	  1.247365924463e-04	  1.502375955827e-04	  2.690353807018e-04	  5.890727669702e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  19	  9.862770047865e+00	 -4.827378151671e+00	  1.247571666260e-04	  1.502581697668e-04	  2.690353807491e-04	  5.890727670737e-04	  2.069397640412e-04	 -2.057415774198e-08	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  20	  9.854406661726e+00	  8.120854558267e+00	  1.244046156070e-04	  1.554643423654e-04	  3.133608799445e-04	  6.888412127493e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  20	  9.854487944219e+00	  8.092872735963e+00	  1.244369842833e-04	  1.554967110503e-04	  3.133608800309e-04	  6.888412129393e-04	  2.068433971776e-04	 -3.236864203361e-08	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  21	  9.875340076549e+00	  8.226200902774e+00	  1.249780431010e-04	  1.425450538245e-04	  2.007394159503e-04	  4.366128525654e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  21	  9.875390581750e+00	  8.221801473556e+00	  1.249983146065e-04	  1.425653253331e-04	  2.007394159852e-04	  4.366128526414e-04	  2.070811712864e-04	 -2.027148372153e-08	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  22	  9.868336398475e+00	  8.335780455978e+00	  1.248902418802e-04	  1.467758826514e-04	  2.388585503742e-04	  5.214883815506e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  22	  9.868383563875e+00	  8.334885388062e+00	  1.249091374211e-04	  1.467947781958e-04	  2.388585504128e-04	  5.214883816350e-04	  2.070355554707e-04	 -1.889552064661e-08	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  23	  9.885550350798e+00	 -4.721486243453e+00	  1.248804369117e-04	  1.365392937375e-04	  1.442685892440e-04	  3.118548912953e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  23	  9.885606471059e+00	 -4.631308460247e+00	  1.249029870224e-04	  1.365618438505e-04	  1.442685892722e-04	  3.118548913561e-04	  2.071969088491e-04	 -2.255008639489e-08	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  24	  9.879963993897e+00	  8.207504010193e+00	  1.249754158676e-04	  1.398021680918e-04	  1.753941122534e-04	  3.804417281449e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  24	  9.880017341998e+00	  8.227693626019e+00	  1.249968456891e-04	  1.398235979161e-04	  1.753941122857e-04	  3.804417282152e-04	  2.071556287004e-04	 -2.142979844405e-08	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  25	  9.893388501120e+00	  8.157022936790e+00	  1.245723943762e-04	  1.320434954449e-04	  9.986623433542e-05	  2.146746699154e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  25	  9.893439896873e+00	  8.151572267979e+00	  1.245930296044e-04	  1.320641306744e-04	  9.986623435333e-05	  2.146746699539e-04	  2.072975342213e-04	 -2.063520582613e-08	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  26	  9.889159094623e+00	  8.282518234766e+00	  1.247724476285e-04	  1.344603636674e-04	  1.240309553499e-04	  2.674377419111e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  26	  9.889212279342e+00	  8.284574357133e+00	  1.247938154358e-04	  1.344817314766e-04	  1.240309553728e-04	  2.674377419606e-04	  2.072609866761e-04	 -2.136778422496e-08	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  27	  9.899112440517e+00	 -4.710775512456e+00	  1.241783943391e-04	  1.288058293886e-04	  6.660720091284e-05	  1.424692709957e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  27	  9.899151742391e+00	 -4.735971724118e+00	  1.241941467218e-04	  1.288215817719e-04	  6.660720092200e-05	  1.424692710153e-04	  2.073749042816e-04	 -1.575236561438e-08	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  28	  9.896065389947e+00	 -4.941007851343e+00	  1.244132182770e-04	  1.305283675513e-04	  8.447958570765e-05	  1.811894690542e-04	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  28	  9.896109337474e+00	 -4.940557556603e+00	  1.244308518275e-04	  1.305460011027e-04	  8.447958572063e-05	  1.811894690821e-04	  2.073469474794e-04	 -1.763353137983e-08	  0.000000000000e+00	  0.000000000000e+00	
