               state	                soln	                  pH	                  pe	          Synthetica	          Syntheticb	          k_Productd	         dk_Productd	
              i_soln	                  29	  7.002996442877e+00	  1.128554825698e+01	  4.139425404439e-01	  4.139425404439e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  29	  7.003144895286e+00	  1.128480720532e+01	  4.099859268499e-01	  4.099859268499e-01	  7.744313554770e-01	  3.956613593560e-03	
              i_soln	                  30	  7.002876411380e+00	 -2.130244285990e+00	  4.170601022005e-01	  4.170601022005e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  30	  7.003024747636e+00	 -2.135146176842e+00	  4.130748718982e-01	  4.130748718982e-01	  7.838066575075e-01	  3.985230301881e-03	
              i_soln	                  31	  7.003204843714e+00	  1.115335408106e+01	  4.085882859548e-01	  4.085882859548e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  31	  7.003353488211e+00	  1.117237519685e+01	  4.046808597513e-01	  4.046808597513e-01	  7.584172606887e-01	  3.907426203133e-03	
              i_soln	                  32	  7.003084446020e+00	  1.110347943814e+01	  4.116725241225e-01	  4.116725241225e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  32	  7.003232980881e+00	  1.110163490181e+01	  4.077367581369e-01	  4.077367581369e-01	  7.676282415989e-01	  3.935765985146e-03	
              i_soln	                  33	  7.003413862506e+00	  1.118307579800e+01	  4.032915213428e-01	  4.032915213428e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  33	  7.003562687512e+00	  1.116939626222e+01	  3.994328037623e-01	  3.994328037623e-01	  7.426845399365e-01	  3.858717580067e-03	
              i_soln	                  34	  7.003293110561e+00	  1.114968664295e+01	  4.063426030283e-01	  4.063426030283e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  34	  7.003441832704e+00	  1.115140307142e+01	  4.024558219448e-01	  4.024558219448e-01	  7.517335713748e-01	  3.886781083072e-03	
              i_soln	                  35	  7.003623478472e+00	  1.127591915185e+01	  3.980519511015e-01	  3.980519511015e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  35	  7.003772471996e+00	  1.128109271108e+01	  3.942414645722e-01	  3.942414645722e-01	  7.272291066204e-01	  3.810486528855e-03	
              i_soln	                  36	  7.003502384288e+00	  1.123909103908e+01	  4.010700478542e-01	  4.010700478542e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  36	  7.003651281878e+00	  1.123175804303e+01	  3.972317733993e-01	  3.972317733993e-01	  7.361185472977e-01	  3.838274454584e-03	
