               state	                soln	                  pH	                  pe	                  Ca	                  Cl	                   K	                N(5)	                  Na	
               react	                  27	  6.994915302664e+00	  1.264240043477e+01	  5.999999934720e-04	  1.199999999727e-03	  1.254670784380e-11	  1.271526778103e-12	  2.509618617550e-12	
              i_soln	                  28	  6.994915302700e+00	  1.264211346491e+01	  5.999999952178e-04	  1.199999999796e-03	  9.448677263760e-12	  1.202289484949e-12	  2.115973492384e-12	
              i_exch	                 108	  6.994915301806e+00	  1.264211346491e+01	  5.999999949026e-04	  1.199999999783e-03	  1.000527390648e-11	  1.215723917333e-12	  2.189803580191e-12	
               react	                  28	  6.994915302701e+00	  1.264211345930e+01	  5.999999951943e-04	  1.199999999796e-03	  9.494448231782e-12	  1.202289484925e-12	  2.117270238809e-12	
              i_soln	                  29	  6.994915302171e+00	  1.264283606856e+01	  5.999999889473e-04	  1.199999999547e-03	  2.056657885733e-11	  1.451356922923e-12	  3.539018130874e-12	
              i_exch	                 109	  6.994915301581e+00	  1.264283606856e+01	  5.999999882210e-04	  1.199999999518e-03	  2.185186444598e-11	  1.481186956145e-12	  3.706364531991e-12	
               react	                  29	  6.994915302171e+00	  1.264283606241e+01	  5.999999888930e-04	  1.199999999547e-03	  2.067227257116e-11	  1.451356922895e-12	  3.541957391218e-12	
              i_soln	                  30	  6.994915302521e+00	  1.264259444291e+01	  5.999999918238e-04	  1.199999999660e-03	  1.546358543088e-11	  1.338264196994e-12	  2.889172415408e-12	
              i_exch	                 110	  6.994915301527e+00	  1.264259444291e+01	  5.999999912859e-04	  1.199999999638e-03	  1.641467329580e-11	  1.360659991929e-12	  3.013858303103e-12	
               react	                  30	  6.994915302520e+00	  1.264259443436e+01	  5.999999917836e-04	  1.199999999660e-03	  1.554179684865e-11	  1.338264196967e-12	  2.891362389504e-12	
              i_soln	                  31	  6.994915302315e+00	  1.264320341457e+01	  5.999999813476e-04	  1.199999999256e-03	  3.406813632605e-11	  1.742723555960e-12	  5.236861072132e-12	
              i_exch	                 111	  6.994915301772e+00	  1.264320341457e+01	  5.999999801244e-04	  1.199999999207e-03	  3.623599524123e-11	  1.791642541520e-12	  5.515388456831e-12	
               react	                  31	  6.994915302315e+00	  1.264320340929e+01	  5.999999812560e-04	  1.199999999256e-03	  3.424640726020e-11	  1.742723555926e-12	  5.241753107458e-12	
              i_soln	                  32	  6.994915302115e+00	  1.264300009556e+01	  5.999999861403e-04	  1.199999999439e-03	  2.555165324524e-11	  1.559731481529e-12	  4.168079410523e-12	
              i_exch	                 112	  6.994915301646e+00	  1.264300009556e+01	  5.999999852303e-04	  1.199999999402e-03	  2.716297165408e-11	  1.596668382259e-12	  4.376647516522e-12	
               react	                  32	  6.994915302115e+00	  1.264300008961e+01	  5.999999860722e-04	  1.199999999439e-03	  2.568415782559e-11	  1.559731481499e-12	  4.171742685989e-12	
              i_soln	                  33	  6.994915302333e+00	  1.264351432671e+01	  5.999999687583e-04	  1.199999998788e-03	  5.647276280747e-11	  2.210549943921e-12	  8.010796662183e-12	
              i_exch	                 113	  6.994915301923e+00	  1.264351432671e+01	  5.999999667139e-04	  1.199999998709e-03	  6.010193603412e-11	  2.289992866019e-12	  8.470427404047e-12	
               react	                  33	  6.994915302333e+00	  1.264351432018e+01	  5.999999686051e-04	  1.199999998788e-03	  5.677120294530e-11	  2.210549943878e-12	  8.018869584245e-12	
              i_soln	                  34	  6.994915302373e+00	  1.264334245608e+01	  5.999999766901e-04	  1.199999999082e-03	  4.235342266232e-11	  1.917109837377e-12	  6.266514056456e-12	
              i_exch	                 114	  6.994915301845e+00	  1.264334245608e+01	  5.999999751629e-04	  1.199999999021e-03	  4.506196414613e-11	  1.977418277036e-12	  6.612313471678e-12	
               react	                  34	  6.994915302374e+00	  1.264334244834e+01	  5.999999765757e-04	  1.199999999082e-03	  4.257615589487e-11	  1.917109837339e-12	  6.272587653021e-12	
              i_soln	                  35	  6.994915302778e+00	  1.264377626738e+01	  5.999999480353e-04	  1.199999998043e-03	  9.341999946852e-11	  2.955210542590e-12	  1.250967529258e-11	
              i_exch	                 115	  6.994915302899e+00	  1.264377626738e+01	  5.999999446422e-04	  1.199999997915e-03	  9.945358972956e-11	  3.083029083852e-12	  1.326211480311e-11	
               react	                  35	  6.994915302780e+00	  1.264377626712e+01	  5.999999477806e-04	  1.199999998043e-03	  9.391616359495e-11	  2.955210542532e-12	  1.252289108770e-11	
              i_soln	                  36	  6.994915302443e+00	  1.264363111602e+01	  5.999999610803e-04	  1.199999998510e-03	  7.015601082291e-11	  2.488708189545e-12	  9.683646673621e-12	
              i_exch	                 116	  6.994915302204e+00	  1.264363111602e+01	  5.999999585359e-04	  1.199999998413e-03	  7.467612818354e-11	  2.586240388848e-12	  1.025223630062e-11	
               react	                  36	  6.994915302444e+00	  1.264363111800e+01	  5.999999608894e-04	  1.199999998510e-03	  7.052771654735e-11	  2.488708189497e-12	  9.693633342002e-12	
              i_soln	                  37	  6.994915303176e+00	  1.264399737254e+01	  5.999999141249e-04	  1.199999996868e-03	  1.539949691104e-10	  4.130643543622e-12	  1.975543408303e-11	
              i_exch	                 117	  6.994915303043e+00	  1.264399737254e+01	  5.999999085303e-04	  1.199999996664e-03	  1.639616501547e-10	  4.334473182176e-12	  2.097795365215e-11	
               react	                  37	  6.994915303178e+00	  1.264399736020e+01	  5.999999137044e-04	  1.199999996868e-03	  1.548145656728e-10	  4.130643543541e-12	  1.977690633262e-11	
              i_soln	                  38	  6.994915302976e+00	  1.264387550411e+01	  5.999999354536e-04	  1.199999997603e-03	  1.158845806359e-10	  3.395165794739e-12	  1.520840259527e-11	
              i_exch	                 118	  6.994915303122e+00	  1.264387550411e+01	  5.999999312433e-04	  1.199999997447e-03	  1.233775732358e-10	  3.551466649006e-12	  1.613606210566e-11	
               react	                  38	  6.994915302976e+00	  1.264387549129e+01	  5.999999351374e-04	  1.199999997603e-03	  1.165007567491e-10	  3.395165794673e-12	  1.522469594256e-11	
              i_soln	                  39	  6.994915303274e+00	  1.264418269331e+01	  5.999998589434e-04	  1.199999995027e-03	  2.527655003801e-10	  5.971078352213e-12	  3.134795359077e-11	
              i_exch	                 119	  6.994915303250e+00	  1.264418269331e+01	  5.999998497747e-04	  1.199999994705e-03	  2.691307418429e-10	  6.293350921465e-12	  3.332009030795e-11	
               react	                  39	  6.994915303276e+00	  1.264418268125e+01	  5.999998582532e-04	  1.199999995027e-03	  2.541112740291e-10	  5.971078352096e-12	  3.138259206723e-11	
              i_soln	                  40	  6.994915303256e+00	  1.264408061697e+01	  5.999998936241e-04	  1.199999996177e-03	  1.906721010151e-10	  4.820857233170e-12	  2.408001373847e-11	
              i_exch	                 120	  6.994915303078e+00	  1.264408061697e+01	  5.999998867009e-04	  1.199999995929e-03	  2.030160939726e-10	  5.069158858721e-12	  2.558240013156e-11	
               react	                  40	  6.994915303259e+00	  1.264408060168e+01	  5.999998931033e-04	  1.199999996177e-03	  1.916871926439e-10	  4.820857233076e-12	  2.410640155051e-11	
              i_soln	                  41	  6.994915303350e+00	  1.264433762771e+01	  5.999997696179e-04	  1.199999992168e-03	  4.129870660772e-10	  8.830158986219e-12	  4.977733723811e-11	
              i_exch	                 121	  6.994915303243e+00	  1.264433762771e+01	  5.999997546772e-04	  1.199999991663e-03	  4.397085943385e-10	  9.335504249062e-12	  5.293721086487e-11	
               react	                  41	  6.994915303353e+00	  1.264433761933e+01	  5.999997684915e-04	  1.199999992168e-03	  4.151844753438e-10	  8.830158986046e-12	  4.983283705308e-11	
              i_soln	                  42	  6.994915303300e+00	  1.264425261733e+01	  5.999998257161e-04	  1.199999993953e-03	  3.123346157339e-10	  7.045367519155e-12	  3.823353067014e-11	
              i_exch	                 122	  6.994915303296e+00	  1.264425261733e+01	  5.999998143991e-04	  1.199999993562e-03	  3.325523061583e-10	  7.436514723439e-12	  4.064978975277e-11	
